product_id,product_name,category,brand,price,rating,description,number_of_images,created_at
16,حقيبة يد جلدية,الأزياء والملابس,مانجو,680.77,3.9,حقيبة يد جلدية مصنوع من أجود الخامات لإطلالة عصرية وأناقة لافتة.,8,2023-01-17 13:49:36
17,شال كشمير ناعم,الأزياء والملابس,H&M,281.04,3.7,شال كشمير ناعم مصنوع من أجود الخامات لإطلالة عصرية وأناقة لافتة.,6,2023-01-12 15:31:53
18,جاكيت شتوي دافئ,الأزياء والملابس,نايكي,685.51,3.8,جاكيت شتوي دافئ بخيوط عالية الجودة ومتاح بألوان متعددة تناسب ذوقك.,8,2023-03-24 03:01:42
19,تيشيرت بولو قطن,الأزياء والملابس,زارا,195.42,4.2,تيشيرت بولو قطن يجمع بين الراحة والأناقة ليناسب مختلف المناسبات.,2,2023-04-23 05:17:43
20,حذاء رسمي جلد,الأزياء والملابس,مانجو,600.91,3.4,حذاء رسمي جلد مصنوع من أجود الخامات لإطلالة عصرية وأناقة لافتة.,4,2023-06-14 03:43:32
21,مكيف هواء انفيرتر 18000,المنزل والمطبخ,بوش,2953.99,4.1,مكيف هواء انفيرتر 18000 مناسب للاستخدام المنزلي اليومي بضمان سنتين.,8,2023-04-19 22:17:22
22,غسالة أوتوماتيك 8 كيلو,المنزل والمطبخ,فيليبس,2057.09,4.3,احصل على غسالة أوتوماتيك 8 كيلو الآن واستمتع بجودة لا مثيل لها في منزلك.,4,2023-01-06 14:55:53
23,ثلاجة نوفروست 350 لتر,المنزل والمطبخ,أريتي,3803.84,3.7,ثلاجة نوفروست 350 لتر يوفر أداءً استثنائياً مع توفير للطاقة وسهولة في التشغيل.,8,2023-01-28 19:36:01
24,مكنسة كهربائية لاسلكية,المنزل والمطبخ,هايسنس,362.63,4.5,مكنسة كهربائية لاسلكية يوفر أداءً استثنائياً مع توفير للطاقة وسهولة في التشغيل.,2,2023-05-25 21:07:58
25,ماكينة قهوة اسبريسو,المنزل والمطبخ,هايسنس,958.76,3.7,ماكينة قهوة اسبريسو مناسب للاستخدام المنزلي اليومي بضمان سنتين.,4,2023-05-21 02:52:51
26,طقم أواني طهي غرانيت,المنزل والمطبخ,بوش,547.5,3.3,احصل على طقم أواني طهي غرانيت الآن واستمتع بجودة لا مثيل لها في منزلك.,2,2023-05-11 20:55:18
27,فرن كهربائي 60 لتر,المنزل والمطبخ,توشيبا,1128.13,4.0,فرن كهربائي 60 لتر مناسب للاستخدام المنزلي اليومي بضمان سنتين.,5,2023-02-23 01:02:59
28,خلاط كهربائي متعدد الوظائف,المنزل والمطبخ,بوش,207.71,3.2,احصل على خلاط كهربائي متعدد الوظائف الآن واستمتع بجودة لا مثيل لها في منزلك.,7,2023-04-26 04:12:21
29,مجموعة سكاكين مطبخ,المنزل والمطبخ,أريتي,137.26,3.8,احصل على مجموعة سكاكين مطبخ الآن واستمتع بجودة لا مثيل لها في منزلك.,2,2023-01-02 11:49:27
30,مكواة بخارية احترافية,المنزل والمطبخ,تيفال,583.67,4.5,مكواة بخارية احترافية مناسب للاستخدام المنزلي اليومي بضمان سنتين.,4,2023-01-24 07:10:03
31,كريم مرطب SPF 50,الجمال والعناية,دوف,118.65,3.8,استخدم كريم مرطب SPF 50 يومياً للحصول على نتائج ملموسة خلال أسبوعين.,3,2023-04-08 03:23:29
32,سيروم فيتامين سي,الجمال والعناية,بيوتانيا,182.43,4.7,سيروم فيتامين سي مكوّن من مكونات طبيعية خالية من المواد الضارة لبشرة أكثر إشراقاً.,5,2023-01-04 15:20:30
33,مجموعة عناية بالشعر,الجمال والعناية,نيفيا,404.5,4.2,استخدم مجموعة عناية بالشعر يومياً للحصول على نتائج ملموسة خلال أسبوعين.,5,2023-05-18 18:30:17
34,طقم مكياج احترافي,الجمال والعناية,بالمر,269.1,3.0,طقم مكياج احترافي يغذّي البشرة ويرطبها طوال اليوم بعطر منعش.,3,2023-06-05 14:25:54
35,عطر نسائي زهري,الجمال والعناية,أفينو,790.82,4.8,عطر نسائي زهري مكوّن من مكونات طبيعية خالية من المواد الضارة لبشرة أكثر إشراقاً.,5,2023-06-13 23:34:56
36,عطر رجالي عودي,الجمال والعناية,دوف,703.99,4.0,عطر رجالي عودي يغذّي البشرة ويرطبها طوال اليوم بعطر منعش.,8,2023-03-02 05:59:03
37,غسول وجه للبشرة الحساسة,الجمال والعناية,ماك,113.29,3.3,استخدم غسول وجه للبشرة الحساسة يومياً للحصول على نتائج ملموسة خلال أسبوعين.,7,2023-01-23 03:24:09
38,زيت أرغان طبيعي,الجمال والعناية,ماك,325.54,3.7,استخدم زيت أرغان طبيعي يومياً للحصول على نتائج ملموسة خلال أسبوعين.,8,2023-05-06 07:58:56
39,قناع وجه كولاجين,الجمال والعناية,ماك,51.31,3.5,قناع وجه كولاجين مكوّن من مكونات طبيعية خالية من المواد الضارة لبشرة أكثر إشراقاً.,6,2023-01-30 16:25:29
40,مزيل عرق رول أون,الجمال والعناية,نيفيا,36.51,4.5,مزيل عرق رول أون يغذّي البشرة ويرطبها طوال اليوم بعطر منعش.,5,2023-05-27 11:58:20
41,حذاء جري احترافي,الرياضة واللياقة,هيد,708.68,4.8,حسّن أداءك مع حذاء جري احترافي المدعوم بأحدث تقنيات اللياقة البدنية.,7,2023-05-02 06:28:56
42,لباس رياضي ضاغط,الرياضة واللياقة,ريبوك,162.27,3.1,لباس رياضي ضاغط مصنوع من مواد خفيفة وعالية التحمّل يناسب جميع الأنشطة.,7,2023-02-28 19:14:43
43,دراجة هوائية جبلية,الرياضة واللياقة,نايكي,1574.27,3.1,دراجة هوائية جبلية مصنوع من مواد خفيفة وعالية التحمّل يناسب جميع الأنشطة.,5,2023-01-08 07:15:44
44,جهاز مشي كهربائي,الرياضة واللياقة,نيو بالانس,1768.56,4.7,جهاز مشي كهربائي مصمم للرياضيين المحترفين والهواة لأداء أفضل وتحمّل أطول.,6,2023-04-26 08:36:45
45,كرة قدم رسمية فيفا,الرياضة واللياقة,هيد,207.67,4.9,حسّن أداءك مع كرة قدم رسمية فيفا المدعوم بأحدث تقنيات اللياقة البدنية.,2,2023-03-29 07:54:39
46,حصيرة يوغا مضادة للانزلاق,الرياضة واللياقة,أندر أرمور,121.09,4.0,حصيرة يوغا مضادة للانزلاق مصمم للرياضيين المحترفين والهواة لأداء أفضل وتحمّل أطول.,2,2023-03-29 11:35:23
47,أوزان حديد طقم 20 كيلو,الرياضة واللياقة,ريبوك,691.19,3.2,حسّن أداءك مع أوزان حديد طقم 20 كيلو المدعوم بأحدث تقنيات اللياقة البدنية.,3,2023-01-08 14:24:55
48,حقيبة رياضية جيم,الرياضة واللياقة,هيد,377.48,4.0,حسّن أداءك مع حقيبة رياضية جيم المدعوم بأحدث تقنيات اللياقة البدنية.,3,2023-03-12 15:53:14
49,جهاز قياس ضغط الدم,الرياضة واللياقة,نيو بالانس,247.85,4.5,حسّن أداءك مع جهاز قياس ضغط الدم المدعوم بأحدث تقنيات اللياقة البدنية.,6,2023-01-11 04:02:27
50,عداد خطوات ذكي,الرياضة واللياقة,ريبوك,103.84,3.2,حسّن أداءك مع عداد خطوات ذكي المدعوم بأحدث تقنيات اللياقة البدنية.,5,2023-02-25 04:13:15
51,كتاب تعلم البرمجة بالعربية,الكتب والتعليم,دار قرطبة,66.67,4.2,كتاب تعلم البرمجة بالعربية مرجع شامل ومنقّح مناسب للطلاب والباحثين.,4,2023-03-02 05:47:04
52,موسوعة التاريخ الإسلامي,الكتب والتعليم,نشر المعرفة,108.37,4.4,موسوعة التاريخ الإسلامي مرجع شامل ومنقّح مناسب للطلاب والباحثين.,4,2023-04-19 12:45:56
53,كتاب ريادة الأعمال والنجاح,الكتب والتعليم,بنغوين,95.99,4.3,استثمر في كتاب ريادة الأعمال والنجاح وطوّر مهاراتك ومعلوماتك باللغة العربية.,7,2023-06-27 04:18:56
54,قاموس عربي إنجليزي شامل,الكتب والتعليم,نشر المعرفة,131.19,3.0,قاموس عربي إنجليزي شامل يقدم محتوى ثرياً بأسلوب سهل ومبسط للقارئ العربي.,3,2023-02-11 14:12:36
55,رواية عربية بيست سيلر,الكتب والتعليم,أكاديميا,41.52,5.0,رواية عربية بيست سيلر مرجع شامل ومنقّح مناسب للطلاب والباحثين.,2,2023-02-27 10:29:27
56,دورة برمجة أكاديمية USB,الكتب والتعليم,مكتبة جرير,327.69,4.1,استثمر في دورة برمجة أكاديمية USB وطوّر مهاراتك ومعلوماتك باللغة العربية.,6,2023-01-08 07:54:57
57,مجموعة كتب الطفل التعليمية,الكتب والتعليم,دار قرطبة,215.42,3.3,مجموعة كتب الطفل التعليمية مرجع شامل ومنقّح مناسب للطلاب والباحثين.,8,2023-05-15 12:53:40
58,كتاب الطبخ العربي التقليدي,الكتب والتعليم,دار قرطبة,143.75,3.1,كتاب الطبخ العربي التقليدي يقدم محتوى ثرياً بأسلوب سهل ومبسط للقارئ العربي.,7,2023-05-20 17:30:44
59,كتاب تطوير الذات والتحفيز,الكتب والتعليم,أكاديميا,88.07,4.5,كتاب تطوير الذات والتحفيز يقدم محتوى ثرياً بأسلوب سهل ومبسط للقارئ العربي.,3,2023-04-14 16:40:20
60,أطلس العالم المصوّر,الكتب والتعليم,أكاديميا,325.99,3.4,استثمر في أطلس العالم المصوّر وطوّر مهاراتك ومعلوماتك باللغة العربية.,6,2023-03-27 13:19:57
61,فرن كهربائي 60 لتر - إصدار خاص,المنزل والمطبخ,هايسنس,1462.89,4.5,احصل على فرن كهربائي 60 لتر - إصدار خاص الآن واستمتع بجودة لا مثيل لها في منزلك.,2,2023-06-19 12:29:01
62,كتاب الطبخ العربي التقليدي - إصدار خاص,الكتب والتعليم,بنغوين,122.09,2.8,استثمر في كتاب الطبخ العربي التقليدي - إصدار خاص وطوّر مهاراتك ومعلوماتك باللغة العربية.,1,2023-02-25 08:29:23
63,حذاء رياضي مريح - إصدار خاص,الأزياء والملابس,بوما,557.39,2.9,حذاء رياضي مريح - إصدار خاص يجمع بين الراحة والأناقة ليناسب مختلف المناسبات.,1,2023-06-26 19:15:38
64,عطر رجالي عودي - إصدار خاص,الجمال والعناية,لوريال,578.73,3.5,عطر رجالي عودي - إصدار خاص يغذّي البشرة ويرطبها طوال اليوم بعطر منعش.,2,2023-03-16 23:39:52
65,مكنسة كهربائية لاسلكية - إصدار خاص,المنزل والمطبخ,فيليبس,586.82,2.7,احصل على مكنسة كهربائية لاسلكية - إصدار خاص الآن واستمتع بجودة لا مثيل لها في منزلك.,6,2023-03-07 02:33:58
66,قميص قطني كلاسيكي - إصدار خاص,الأزياء والملابس,ليفايز,234.31,3.7,قميص قطني كلاسيكي - إصدار خاص مصنوع من أجود الخامات لإطلالة عصرية وأناقة لافتة.,6,2023-04-02 02:12:41
67,لابتوب الترا سليم - إصدار خاص,الإلكترونيات,سامسونج,3651.66,4.6,لابتوب الترا سليم - إصدار خاص بمعالج سريع وذاكرة واسعة لتجربة استخدام سلسة ومريحة.,6,2023-04-29 05:35:12
68,تابلت 10 إنش - إصدار خاص,الإلكترونيات,شاومي,1081.84,2.6,يتميز تابلت 10 إنش - إصدار خاص بتصميم أنيق وبطارية تدوم طويلاً مع شاشة عالية الدقة.,6,2023-06-04 03:50:16
69,لابتوب الترا سليم - إصدار خاص,الإلكترونيات,أوبو,5185.33,2.5,لابتوب الترا سليم - إصدار خاص بمعالج سريع وذاكرة واسعة لتجربة استخدام سلسة ومريحة.,5,2023-02-16 23:30:48
70,فرن كهربائي 60 لتر - إصدار خاص,المنزل والمطبخ,فيليبس,1076.29,3.1,فرن كهربائي 60 لتر - إصدار خاص مناسب للاستخدام المنزلي اليومي بضمان سنتين.,2,2023-05-10 00:11:40
71,حصيرة يوغا مضادة للانزلاق - إصدار خاص,الرياضة واللياقة,أديداس,241.15,3.9,حسّن أداءك مع حصيرة يوغا مضادة للانزلاق - إصدار خاص المدعوم بأحدث تقنيات اللياقة البدنية.,5,2023-01-04 22:45:53
72,كريم مرطب SPF 50 - إصدار خاص,الجمال والعناية,دوف,295.83,3.1,كريم مرطب SPF 50 - إصدار خاص مكوّن من مكونات طبيعية خالية من المواد الضارة لبشرة أكثر إشراقاً.,3,2023-06-03 02:46:10
73,فستان سهرة أنيق - إصدار خاص,الأزياء والملابس,نايكي,249.37,3.4,فستان سهرة أنيق - إصدار خاص يجمع بين الراحة والأناقة ليناسب مختلف المناسبات.,6,2023-02-03 23:58:28
74,كتاب الطبخ العربي التقليدي - إصدار خاص,الكتب والتعليم,أكاديميا,132.13,4.5,كتاب الطبخ العربي التقليدي - إصدار خاص مرجع شامل ومنقّح مناسب للطلاب والباحثين.,6,2023-05-31 17:18:33
75,تابلت 10 إنش - إصدار خاص,الإلكترونيات,شاومي,670.09,3.0,جهاز تابلت 10 إنش - إصدار خاص بتقنية متطورة وأداء عالٍ يناسب الاستخدام اليومي والمهني.,3,2023-03-02 05:03:30
76,حقيبة رياضية جيم - إصدار خاص,الرياضة واللياقة,نيو بالانس,110.25,4.1,حقيبة رياضية جيم - إصدار خاص مصنوع من مواد خفيفة وعالية التحمّل يناسب جميع الأنشطة.,3,2023-06-17 09:51:24
77,دورة برمجة أكاديمية USB - إصدار خاص,الكتب والتعليم,الوراق,193.57,3.4,دورة برمجة أكاديمية USB - إصدار خاص يقدم محتوى ثرياً بأسلوب سهل ومبسط للقارئ العربي.,6,2023-03-27 09:19:16
78,عطر رجالي عودي - إصدار خاص,الجمال والعناية,نارس,637.27,3.7,استخدم عطر رجالي عودي - إصدار خاص يومياً للحصول على نتائج ملموسة خلال أسبوعين.,3,2023-06-05 13:37:14
79,سيروم فيتامين سي - إصدار خاص,الجمال والعناية,دوف,421.1,4.6,استخدم سيروم فيتامين سي - إصدار خاص يومياً للحصول على نتائج ملموسة خلال أسبوعين.,3,2023-03-04 08:57:13
80,ماكينة قهوة اسبريسو - إصدار خاص,المنزل والمطبخ,أريتي,996.58,4.3,ماكينة قهوة اسبريسو - إصدار خاص يوفر أداءً استثنائياً مع توفير للطاقة وسهولة في التشغيل.,6,2023-03-28 04:45:46
81,شاشة 4K 27 إنش - إصدار خاص,الإلكترونيات,لينوفو,1613.84,5.0,جهاز شاشة 4K 27 إنش - إصدار خاص بتقنية متطورة وأداء عالٍ يناسب الاستخدام اليومي والمهني.,1,2023-05-11 07:56:37
82,مجموعة سكاكين مطبخ - إصدار خاص,المنزل والمطبخ,ديلونجي,482.06,2.9,احصل على مجموعة سكاكين مطبخ - إصدار خاص الآن واستمتع بجودة لا مثيل لها في منزلك.,6,2023-06-01 17:10:39
83,فستان سهرة أنيق - إصدار خاص,الأزياء والملابس,ماكس فاشون,584.83,3.4,فستان سهرة أنيق - إصدار خاص يجمع بين الراحة والأناقة ليناسب مختلف المناسبات.,5,2023-01-07 06:55:35
84,كتاب الطبخ العربي التقليدي - إصدار خاص,الكتب والتعليم,بنغوين,98.36,4.4,استثمر في كتاب الطبخ العربي التقليدي - إصدار خاص وطوّر مهاراتك ومعلوماتك باللغة العربية.,2,2023-04-13 19:27:42
85,ماكينة قهوة اسبريسو - إصدار خاص,المنزل والمطبخ,تيفال,1742.75,2.6,ماكينة قهوة اسبريسو - إصدار خاص يوفر أداءً استثنائياً مع توفير للطاقة وسهولة في التشغيل.,4,2023-04-11 12:52:04
86,لباس رياضي ضاغط - إصدار خاص,الرياضة واللياقة,نيو بالانس,336.99,4.3,لباس رياضي ضاغط - إصدار خاص مصمم للرياضيين المحترفين والهواة لأداء أفضل وتحمّل أطول.,5,2023-02-25 10:53:04
87,طقم مكياج احترافي - إصدار خاص,الجمال والعناية,نيفيا,281.44,2.7,طقم مكياج احترافي - إصدار خاص مكوّن من مكونات طبيعية خالية من المواد الضارة لبشرة أكثر إشراقاً.,6,2023-03-28 10:22:06
88,دورة برمجة أكاديمية USB - إصدار خاص,الكتب والتعليم,بنغوين,398.34,3.9,دورة برمجة أكاديمية USB - إصدار خاص يقدم محتوى ثرياً بأسلوب سهل ومبسط للقارئ العربي.,3,2023-06-15 07:38:05
89,كتاب ريادة الأعمال والنجاح - إصدار خاص,الكتب والتعليم,بنغوين,73.16,2.8,كتاب ريادة الأعمال والنجاح - إصدار خاص مرجع شامل ومنقّح مناسب للطلاب والباحثين.,2,2023-02-15 23:16:14
90,شاشة 4K 27 إنش - إصدار خاص,الإلكترونيات,إل جي,2115.26,5.0,جهاز شاشة 4K 27 إنش - إصدار خاص بتقنية متطورة وأداء عالٍ يناسب الاستخدام اليومي والمهني.,5,2023-06-21 16:53:13
91,فرن كهربائي 60 لتر - إصدار خاص,المنزل والمطبخ,توشيبا,978.27,4.4,احصل على فرن كهربائي 60 لتر - إصدار خاص الآن واستمتع بجودة لا مثيل لها في منزلك.,1,2023-01-25 08:03:54
92,موسوعة التاريخ الإسلامي - إصدار خاص,الكتب والتعليم,أكاديميا,182.48,3.8,موسوعة التاريخ الإسلامي - إصدار خاص مرجع شامل ومنقّح مناسب للطلاب والباحثين.,5,2023-05-05 05:39:20
93,شال كشمير ناعم - إصدار خاص,الأزياء والملابس,زارا,304.48,3.8,شال كشمير ناعم - إصدار خاص يجمع بين الراحة والأناقة ليناسب مختلف المناسبات.,2,2023-02-01 10:49:14
94,قاموس عربي إنجليزي شامل - إصدار خاص,الكتب والتعليم,بنغوين,192.65,3.8,قاموس عربي إنجليزي شامل - إصدار خاص يقدم محتوى ثرياً بأسلوب سهل ومبسط للقارئ العربي.,1,2023-02-18 15:54:19
95,كرة قدم رسمية فيفا - إصدار خاص,الرياضة واللياقة,بوما,217.5,4.0,كرة قدم رسمية فيفا - إصدار خاص مصمم للرياضيين المحترفين والهواة لأداء أفضل وتحمّل أطول.,5,2023-05-05 11:13:04
96,دراجة هوائية جبلية - إصدار خاص,الرياضة واللياقة,بوما,2249.21,4.3,حسّن أداءك مع دراجة هوائية جبلية - إصدار خاص المدعوم بأحدث تقنيات اللياقة البدنية.,3,2023-06-13 14:28:27
97,هاتف ذكي برو ماكس - إصدار خاص,الإلكترونيات,آبل,1968.21,4.1,هاتف ذكي برو ماكس - إصدار خاص بمعالج سريع وذاكرة واسعة لتجربة استخدام سلسة ومريحة.,3,2023-05-07 10:29:08
98,أوزان حديد طقم 20 كيلو - إصدار خاص,الرياضة واللياقة,نايكي,449.02,4.1,أوزان حديد طقم 20 كيلو - إصدار خاص مصنوع من مواد خفيفة وعالية التحمّل يناسب جميع الأنشطة.,6,2023-02-28 15:51:38
99,مجموعة كتب الطفل التعليمية - إصدار خاص,الكتب والتعليم,الوراق,185.24,4.2,مجموعة كتب الطفل التعليمية - إصدار خاص مرجع شامل ومنقّح مناسب للطلاب والباحثين.,4,2023-03-22 16:56:15
100,حقيبة يد جلدية - إصدار خاص,الأزياء والملابس,مانجو,418.81,4.3,حقيبة يد جلدية - إصدار خاص بخيوط عالية الجودة ومتاح بألوان متعددة تناسب ذوقك.,3,2023-03-19 10:09:14
101,مجموعة سكاكين مطبخ - إصدار خاص,المنزل والمطبخ,بوش,241.26,3.7,مجموعة سكاكين مطبخ - إصدار خاص مناسب للاستخدام المنزلي اليومي بضمان سنتين.,4,2023-02-18 03:23:08
102,تابلت 10 إنش - إصدار خاص,الإلكترونيات,لينوفو,1982.66,3.5,جهاز تابلت 10 إنش - إصدار خاص بتقنية متطورة وأداء عالٍ يناسب الاستخدام اليومي والمهني.,3,2023-04-23 04:13:00
103,بنطلون جينز سليم فيت - إصدار خاص,الأزياء والملابس,بوما,398.87,3.7,بنطلون جينز سليم فيت - إصدار خاص يجمع بين الراحة والأناقة ليناسب مختلف المناسبات.,4,2023-01-05 12:00:33
104,قناع وجه كولاجين - إصدار خاص,الجمال والعناية,أفينو,146.34,3.0,قناع وجه كولاجين - إصدار خاص يغذّي البشرة ويرطبها طوال اليوم بعطر منعش.,1,2023-01-10 19:32:07
105,حقيبة رياضية جيم - إصدار خاص,الرياضة واللياقة,نيو بالانس,250.27,4.6,حقيبة رياضية جيم - إصدار خاص مصنوع من مواد خفيفة وعالية التحمّل يناسب جميع الأنشطة.,2,2023-06-21 08:32:30
106,فرن كهربائي 60 لتر - إصدار خاص,المنزل والمطبخ,وايتبوينت,449.77,2.6,احصل على فرن كهربائي 60 لتر - إصدار خاص الآن واستمتع بجودة لا مثيل لها في منزلك.,2,2023-03-12 09:28:59
107,كاميرا ميرورليس - إصدار خاص,الإلكترونيات,أوبو,5057.62,3.2,كاميرا ميرورليس - إصدار خاص بمعالج سريع وذاكرة واسعة لتجربة استخدام سلسة ومريحة.,6,2023-04-29 15:40:02
108,كاميرا ميرورليس - إصدار خاص,الإلكترونيات,إل جي,5179.59,3.3,يتميز كاميرا ميرورليس - إصدار خاص بتصميم أنيق وبطارية تدوم طويلاً مع شاشة عالية الدقة.,2,2023-02-08 15:40:37
109,قناع وجه كولاجين - إصدار خاص,الجمال والعناية,لوريال,44.98,2.8,قناع وجه كولاجين - إصدار خاص يغذّي البشرة ويرطبها طوال اليوم بعطر منعش.,4,2023-04-11 20:15:57
110,جهاز قياس ضغط الدم - إصدار خاص,الرياضة واللياقة,بوما,228.23,4.0,جهاز قياس ضغط الدم - إصدار خاص مصمم للرياضيين المحترفين والهواة لأداء أفضل وتحمّل أطول.,4,2023-04-30 17:06:01
111,مكواة بخارية احترافية - إصدار خاص,المنزل والمطبخ,وايتبوينت,453.66,3.8,مكواة بخارية احترافية - إصدار خاص مناسب للاستخدام المنزلي اليومي بضمان سنتين.,6,2023-04-20 07:25:01
112,شاشة 4K 27 إنش - إصدار خاص,الإلكترونيات,إل جي,2651.9,4.9,شاشة 4K 27 إنش - إصدار خاص بمعالج سريع وذاكرة واسعة لتجربة استخدام سلسة ومريحة.,3,2023-06-04 17:08:47
113,كتاب تعلم البرمجة بالعربية - إصدار خاص,الكتب والتعليم,أكاديميا,61.24,4.1,استثمر في كتاب تعلم البرمجة بالعربية - إصدار خاص وطوّر مهاراتك ومعلوماتك باللغة العربية.,5,2023-02-14 04:25:41
114,حقيبة رياضية جيم - إصدار خاص,الرياضة واللياقة,بوما,246.79,4.3,حقيبة رياضية جيم - إصدار خاص مصنوع من مواد خفيفة وعالية التحمّل يناسب جميع الأنشطة.,2,2023-06-09 13:13:08
115,شاحن لاسلكي سريع - إصدار خاص,الإلكترونيات,آبل,131.51,3.6,يتميز شاحن لاسلكي سريع - إصدار خاص بتصميم أنيق وبطارية تدوم طويلاً مع شاشة عالية الدقة.,2,2023-03-22 04:32:00
116,قناع وجه كولاجين - إصدار خاص,الجمال والعناية,أفينو,136.01,4.3,قناع وجه كولاجين - إصدار خاص مكوّن من مكونات طبيعية خالية من المواد الضارة لبشرة أكثر إشراقاً.,6,2023-01-27 19:30:39
117,حصيرة يوغا مضادة للانزلاق - إصدار خاص,الرياضة واللياقة,هيد,159.84,3.3,حصيرة يوغا مضادة للانزلاق - إصدار خاص مصمم للرياضيين المحترفين والهواة لأداء أفضل وتحمّل أطول.,4,2023-06-27 02:48:24
118,حصيرة يوغا مضادة للانزلاق - إصدار خاص,الرياضة واللياقة,نيو بالانس,175.91,3.0,حصيرة يوغا مضادة للانزلاق - إصدار خاص مصمم للرياضيين المحترفين والهواة لأداء أفضل وتحمّل أطول.,3,2023-04-19 08:52:20
119,ماكينة قهوة اسبريسو - إصدار خاص,المنزل والمطبخ,تيفال,1350.85,3.7,ماكينة قهوة اسبريسو - إصدار خاص مناسب للاستخدام المنزلي اليومي بضمان سنتين.,3,2023-04-19 20:03:41
120,رواية عربية بيست سيلر - إصدار خاص,الكتب والتعليم,الوراق,37.31,4.2,رواية عربية بيست سيلر - إصدار خاص يقدم محتوى ثرياً بأسلوب سهل ومبسط للقارئ العربي.,4,2023-06-08 21:54:55
121,حذاء رياضي مريح - إصدار خاص,الأزياء والملابس,زارا,279.43,4.3,حذاء رياضي مريح - إصدار خاص يجمع بين الراحة والأناقة ليناسب مختلف المناسبات.,4,2023-05-08 09:03:04
122,طقم مكياج احترافي - إصدار خاص,الجمال والعناية,ماك,696.77,3.2,استخدم طقم مكياج احترافي - إصدار خاص يومياً للحصول على نتائج ملموسة خلال أسبوعين.,6,2023-02-22 17:50:52
123,عداد خطوات ذكي - إصدار خاص,الرياضة واللياقة,أندر أرمور,140.92,4.2,حسّن أداءك مع عداد خطوات ذكي - إصدار خاص المدعوم بأحدث تقنيات اللياقة البدنية.,2,2023-05-04 21:02:13
124,كاميرا ميرورليس - إصدار خاص,الإلكترونيات,إل جي,4869.43,2.8,جهاز كاميرا ميرورليس - إصدار خاص بتقنية متطورة وأداء عالٍ يناسب الاستخدام اليومي والمهني.,1,2023-04-17 20:49:43
